Index | Value | Parent | Sibling
1 | program | 0 | 0
2 | # | 1 | 0
3 | cmpdstmt | 1 | 2
4 | # | 1 | 3
5 | stmt | 3 | 0
6 | ; | 3 | 5
7 | nextstmt | 3 | 6
8 | simplstmt | 5 | 0
9 | declaration | 8 | 0
10 | type | 9 | 0
11 | id | 9 | 10
12 | int | 10 | 0
13 | cmpdstmt | 7 | 0
14 | stmt | 13 | 0
15 | ; | 13 | 14
16 | nextstmt | 13 | 15
17 | simplstmt | 14 | 0
18 | assignstmt | 17 | 0
19 | id | 18 | 0
20 | <- | 18 | 19
21 | expression | 18 | 20
22 | term | 21 | 0
23 | signandnextexpr | 21 | 22
24 | intConstant | 22 | 0
25 | epsilon | 23 | 0
26 | cmpdstmt | 16 | 0
27 | stmt | 26 | 0
28 | ; | 26 | 27
29 | nextstmt | 26 | 28
30 | simplstmt | 27 | 0
31 | declaration | 30 | 0
32 | type | 31 | 0
33 | id | 31 | 32
34 | int | 32 | 0
35 | cmpdstmt | 29 | 0
36 | stmt | 35 | 0
37 | ; | 35 | 36
38 | nextstmt | 35 | 37
39 | simplstmt | 36 | 0
40 | assignstmt | 39 | 0
41 | id | 40 | 0
42 | <- | 40 | 41
43 | expression | 40 | 42
44 | term | 43 | 0
45 | signandnextexpr | 43 | 44
46 | intConstant | 44 | 0
47 | epsilon | 45 | 0
48 | cmpdstmt | 38 | 0
49 | stmt | 48 | 0
50 | ; | 48 | 49
51 | nextstmt | 48 | 50
52 | simplstmt | 49 | 0
53 | declaration | 52 | 0
54 | type | 53 | 0
55 | id | 53 | 54
56 | int | 54 | 0
57 | cmpdstmt | 51 | 0
58 | stmt | 57 | 0
59 | ; | 57 | 58
60 | nextstmt | 57 | 59
61 | simplstmt | 58 | 0
62 | assignstmt | 61 | 0
63 | id | 62 | 0
64 | <- | 62 | 63
65 | expression | 62 | 64
66 | term | 65 | 0
67 | signandnextexpr | 65 | 66
68 | intConstant | 66 | 0
69 | epsilon | 67 | 0
70 | cmpdstmt | 60 | 0
71 | stmt | 70 | 0
72 | ; | 70 | 71
73 | nextstmt | 70 | 72
74 | simplstmt | 71 | 0
75 | declaration | 74 | 0
76 | type | 75 | 0
77 | id | 75 | 76
78 | int | 76 | 0
79 | cmpdstmt | 73 | 0
80 | stmt | 79 | 0
81 | ; | 79 | 80
82 | nextstmt | 79 | 81
83 | complexstmt | 80 | 0
84 | ifstmt | 83 | 0
85 | if | 84 | 0
86 | ( | 84 | 85
87 | condition | 84 | 86
88 | ) | 84 | 87
89 | then | 84 | 88
90 | cmpdstmt | 84 | 89
91 | else | 84 | 90
92 | cmpdstmt | 84 | 91
93 | endif | 84 | 92
94 | expression | 87 | 0
95 | relation | 87 | 94
96 | expression | 87 | 95
97 | term | 94 | 0
98 | signandnextexpr | 94 | 97
99 | id | 97 | 0
100 | epsilon | 98 | 0
101 | > | 95 | 0
102 | term | 96 | 0
103 | signandnextexpr | 96 | 102
104 | id | 102 | 0
105 | epsilon | 103 | 0
106 | stmt | 90 | 0
107 | ; | 90 | 106
108 | nextstmt | 90 | 107
109 | complexstmt | 106 | 0
110 | ifstmt | 109 | 0
111 | if | 110 | 0
112 | ( | 110 | 111
113 | condition | 110 | 112
114 | ) | 110 | 113
115 | then | 110 | 114
116 | cmpdstmt | 110 | 115
117 | else | 110 | 116
118 | cmpdstmt | 110 | 117
119 | endif | 110 | 118
120 | expression | 113 | 0
121 | relation | 113 | 120
122 | expression | 113 | 121
123 | term | 120 | 0
124 | signandnextexpr | 120 | 123
125 | id | 123 | 0
126 | epsilon | 124 | 0
127 | > | 121 | 0
128 | term | 122 | 0
129 | signandnextexpr | 122 | 128
130 | id | 128 | 0
131 | epsilon | 129 | 0
132 | stmt | 116 | 0
133 | ; | 116 | 132
134 | nextstmt | 116 | 133
135 | simplstmt | 132 | 0
136 | assignstmt | 135 | 0
137 | id | 136 | 0
138 | <- | 136 | 137
139 | expression | 136 | 138
140 | term | 139 | 0
